University,Teaching Score,International Outlook,Student Staff Ratio (%),original_international,International Students (%),year,Year (2000s)
Autonomous University of Barcelona,33.7,45.9,12.3,0.1,10,2012,12
Nagoya University,45.5,21.2,7.9,0.1,10,2012,12
National Tsing Hua University,42.7,17.7,13.5,0.05,5,2012,12
Northeastern University,30.4,38,15.1,0.26,26,2012,12
Technion Israel Institute of Technology,38.7,48.9,19.4,0.04,4,2012,12
Ulm University,40.8,50.8,11.2,0.1,10,2012,12
University at Buffalo,44.3,49.2,19,0.19,19,2012,12
University of Adelaide,32.2,81.7,30.1,0.26,26,2012,12
University of Essex,31.7,90.1,19.8,0.39,39,2012,12
University of Georgia,44.4,30.6,19.9,0.07,7,2012,12
University of Medicine and Dentistry of New Jersey,48.5,31,,,0,2012,12
University of South Carolina,34.3,26,16.3,0.01,1,2012,12
University of Waterloo,35.8,62.1,24.2,0.14,14,2012,12
University of Western Ontario,38.8,55.7,20.7,0.16,16,2012,12
University of Wê_rzburg,31.3,44,38.4,0.08,8,2012,12
Creighton University,43.6,25,8.3,0.02,2,2012,12
Drexel University,36.9,37.8,10.8,0.18,18,2012,12
Fudan University,42.4,36.1,12.2,0.11,11,2012,12
Korea University,39.5,23.4,15.8,0.14,14,2012,12
National Chiao Tung University,36.4,24.2,16.6,0.05,5,2012,12
University of Bologna,32.7,34.9,22.9,0.07,7,2012,12
University of Calgary,34,42.7,16.5,0.17,17,2012,12
University of Hamburg,35.2,56.3,,,0,2012,12
University of Milan,37.1,34.3,24.3,0.05,5,2012,12
University of Missouri,38.5,26.9,14.1,0.05,5,2012,12
Yonsei University,41.5,23.3,11.6,0.14,14,2012,12
Hong Kong Polytechnic University,30.1,62.5,25.9,0.26,26,2012,12
Kyushu University,46.8,19.5,6.7,0.08,8,2012,12
Nanjing University,40.9,25,13.3,0.1,10,2012,12
Ruhr University Bochum,34.9,46.6,46.3,0.13,13,2012,12
University of Hawai_ã_i at M„Ånoa,31.3,34.6,,,0,2012,12
University of Tsukuba,37.2,27.2,12.6,0.16,16,2012,12
Virginia Polytechnic Institute and State University,36.9,25.1,18.6,0.1,10,2012,12
Wayne State University,34.7,24.6,10.7,0.07,7,2012,12
Hokkaido University,44.5,18.8,8.2,0.09,9,2012,12
Lomonosov Moscow State University,47.9,53.3,7.7,0.2,20,2012,12
Middle East Technical University,37,23.5,22.2,0.07,7,2012,12
State University of Campinas,52.3,19.1,15.3,0.03,3,2012,12
Sun Yat-sen University,33.3,20.7,16.6,0.08,8,2012,12
Tokyo Medical and Dental University (TMDU),42.8,18,3.3,0.07,7,2012,12
University of Kansas,33.2,23.5,,,0,2012,12
University of Kentucky,38.7,18.3,,,0,2012,12
Charles University in Prague,32.3,51.4,13,0.15,15,2012,12
Indian Institute of Technology Bombay,43.8,14.3,14.9,0.01,1,2012,12
Keio University,32.3,18.3,11.9,0.05,5,2012,12
Shanghai Jiao Tong University,39.4,20.5,12.8,0.06,6,2012,12
Sungkyunkwan University (SKKU),31.4,26.6,20.3,0.09,9,2012,12
University of Houston,36.5,27.7,43.7,0.09,9,2012,12
University of Oklahoma,33.8,20.7,,,0,2012,12
University of Surrey,32.6,81.5,16.6,0.38,38,2012,12
Zhejiang University,38.8,13.9,15.9,0.05,5,2012,12
Auburn University,33.7,22.5,17.6,0.04,4,2012,12
Kyung Hee University,37.1,31.4,17.4,0.14,14,2012,12
Saint Petersburg State University,37.6,38.1,5.2,0.07,7,2012,12
Wuhan University,31.3,21.7,14.4,0.07,7,2012,12
Autonomous University of Barcelona,39,47.1,12.3,0.1,10,2013,13
Cardiff University,32.5,68.1,13.1,0.23,23,2013,13
Fudan University,45.3,38.6,12.2,0.11,11,2013,13
Johannes Gutenberg University of Mainz,33.5,57,32.6,0.1,10,2013,13
Lomonosov Moscow State University,63.5,50.3,7.7,0.2,20,2013,13
Middle East Technical University,50.8,28,22.2,0.07,7,2013,13
Nagoya University,44.2,25.3,7.9,0.1,10,2013,13
Northeastern University,40.1,41,15.1,0.26,26,2013,13
Queen_ã_s University,39.5,58,22.1,0.1,10,2013,13
Sungkyunkwan University (SKKU),47.1,30.9,20.3,0.09,9,2013,13
Tilburg University,38.2,56.6,22.4,0.1,10,2013,13
University of Barcelona,32.5,46,12.2,0.1,10,2013,13
University of Erlangen-Nuremberg,35,49,53.9,0.09,9,2013,13
University of Georgia,45.4,36.2,19.9,0.07,7,2013,13
University of Innsbruck,36.6,88.7,16.9,0.39,39,2013,13
University of Konstanz,32.6,58.5,59.1,0.12,12,2013,13
University of Oslo,33.5,59,18.8,0.18,18,2013,13
University of Science and Technology of China,39.2,22,7.9,0.02,2,2013,13
University of Tê_bingen,36.3,56.3,38.9,0.12,12,2013,13
Bilkent University,34.7,42,,,0,2013,13
Georgia Health Sciences University,49.4,32.6,,,0,2013,13
Indian Institute of Technology Kharagpur,44.2,16.1,17.5,0,0,2013,13
Korea University,44.7,27.3,15.8,0.14,14,2013,13
Laval University,36.4,54.4,16.2,0.12,12,2013,13
Mines ParisTech,39.5,62.4,5.6,0.22,22,2013,13
National Tsing Hua University,45.5,20.1,13.5,0.05,5,2013,13
Technical University of Darmstadt,37.8,64.4,53.6,0.18,18,2013,13
Tulane University,42.8,31.2,8.4,0.08,8,2013,13
University of Calgary,37.3,62.2,16.5,0.17,17,2013,13
University of Cincinnati,34.9,23.9,15.7,0.06,6,2013,13
University of Missouri,40.4,30.8,14.1,0.05,5,2013,13
University of South Florida,32.6,19.7,21.5,0.1,10,2013,13
University of Waterloo,34.7,58.3,24.2,0.14,14,2013,13
University of Western Ontario,39.4,51.3,20.7,0.16,16,2013,13
University of Wê_rzburg,33,44.8,38.4,0.08,8,2013,13
Aalto University,34.4,52,24.2,0.17,17,2013,13
Dalhousie University,30.2,59.1,14.4,0.18,18,2013,13
Hong Kong Polytechnic University,34.6,65.4,25.9,0.26,26,2013,13
Indian Institute of Technology Bombay,47.3,19.9,14.9,0.01,1,2013,13
Nanjing University,41.3,48.4,13.3,0.1,10,2013,13
National Chiao Tung University,39.6,27.2,16.6,0.05,5,2013,13
Norwegian University of Science and Technology,34.2,57.5,13.9,0.09,9,2013,13
State University of Campinas,51.7,20.9,15.3,0.03,3,2013,13
Stellenbosch University,31.5,47.8,23,0.08,8,2013,13
University of Connecticut,42.5,40.5,13,0.11,11,2013,13
University of Essex,33.7,86.4,19.8,0.39,39,2013,13
University of Kiel,32.1,44.6,23.8,0.08,8,2013,13
University of Milan,36.3,35.7,24.3,0.05,5,2013,13
University of Mê_nster,35.9,43.2,46.1,0.08,8,2013,13
University of Oregon,31.5,30.2,20.2,0.11,11,2013,13
Vienna University of Technology,44.8,71.4,52,0.27,27,2013,13
Bo„Èaziê_i University,35.4,36.7,25,0.07,7,2013,13
Colorado State University,30.8,29.8,19,0.05,5,2013,13
Drexel University,34.7,36.6,10.8,0.18,18,2013,13
Istanbul Technical University,34.9,20.8,16,0.05,5,2013,13
Ruhr University Bochum,36.7,48.3,46.3,0.13,13,2013,13
Shanghai Jiao Tong University,43.4,20.7,12.8,0.06,6,2013,13
Tokyo Medical and Dental University (TMDU),47.5,21.9,3.3,0.07,7,2013,13
University of Bologna,34.4,37.6,22.9,0.07,7,2013,13
University of Kansas,36.1,28.1,,,0,2013,13
University of South Carolina,37.5,31.3,16.3,0.01,1,2013,13
Virginia Polytechnic Institute and State University,38.5,27.8,18.6,0.1,10,2013,13
Autonomous University of Madrid,32,45.7,13,0.15,15,2013,13
Charles University in Prague,34.7,50.3,13,0.15,15,2013,13
Creighton University,42.4,26,8.3,0.02,2,2013,13
Hokkaido University,45.1,24.9,8.2,0.09,9,2013,13
Kyushu University,44,21.7,6.7,0.08,8,2013,13
National Cheng Kung University,33.1,22.9,14.4,0.11,11,2013,13
